registration_no,category,name,email,telephone,address,validity,exchange_name,trade_name
INBI00001285,Banker to an Issue,Jana Small Finance Bank Limited,sanath.rao@janabank.com,9108046020100,"The Fairway Business Park, First Floor, Survey No.10/1, 11/2 & 12/2B, Off Domlur,, Koramangala Inner Ring Road, Next to EGL Business Park Challaghatta, Bengaluru, BANGALORE, KARNATAKA, 560071","Sep 12, 2024 - Perpetual",,
INBI00001057,Banker to an Issue,"JANATA SAHAKARI BANK LIMITED, PUNE",,,,"Jan 13, 2016 - Perpetual",,
INBI00000984,Banker to an Issue,"JPMORGAN CHASE BANK,NATIONAL ASSOCIATION",,02261573226,"J P Morgan Tower, Off C.S.T,Road, Kalina,Santacruz, MUMBAI, MAHARASHTRA, 400098","Mar 12, 2015 - Perpetual",,
INBI00000927,Banker to an Issue,KOTAK MAHINDRA BANK LTD,,02266726419,"27BKC, C 27, G Block,, Bandra Kurla Complex, Bandra E, MUMBAI, MAHARASHTRA, 400051","May 22, 2015 - Perpetual",,
INBI00001008,Banker to an Issue,NUTAN NAGARIK SAHAKARI BANK LTD,,,"OPP. SAMARTHESHWAR MAHADEV, , NR. LAW GARDEN , ELLISBRIDGE, AHMEDABAD, GUJARAT, 380006","May 11, 2015 - Perpetual",,
INBI00001249,Banker to an Issue,Paytm Payments Bank Limited,rohan@paytmbank.com,9101204818901,"136, 1st floor, Devika Tower, Nehru, Place, New Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Jun 15, 2022 - Perpetual",,
INBI00000014,Banker to an Issue,PUNJAB & SIND BANK,ho.ga@psb.co.in,0112586 2474,"MARKETING AND INSURANCE DIVISION. H.O.G.A. DEPARTMENT, 2ND FLOOR, 21 RAJINDRA PLACE, NEW DELHI, 110008","Nov 16, 2015 - Perpetual",,
INBI00000084,Banker to an Issue,PUNJAB NATIONAL BANK,,,"HEAD OFFICE, 7, BHIKAJI CAMA PLACE,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110607","Dec 01, 2015 - Perpetual",,
INBI00001131,Banker to an Issue,RAJKOT NAGARIK SAHAKARI BANK LTD.,,,"NAGARIK BHAVAN NO. 1, DHEBARBHAI ROAD,, NEAR JUBILEE GARDEN, RAJKOT, GUJARAT, 360001","Sep 21, 2015 - Perpetual",,
INBI00001123,Banker to an Issue,RBL BANK LIMITED (FORMERLY: THE RATNAKAR BANK LIMITED),,,,"Jun 18, 2015 - Perpetual",,
INBI00001294,Banker to an Issue,SBM Bank India Limited,mehul.somaiya@sbmbank.co.in,9102240071500,"101, Raheja Centre First Floor,, Free Press Journal Marg, Nariman Point, Mumbai, MUMBAI, MAHARASHTRA, 400021","Oct 07, 2024 - Perpetual",,
INBI00001337,Banker to an Issue,slice small finance bank limited,sebi.communications@slicebank.com,08048329999,"G.S. Point, G.S. Road, Vill-Sarumataria, Opposite Dispur Fire Station, Guwahati, Assam Sachivalaya, Kamrup, GMC, Assam, India, GUWAHATI, ASSAM, 781006","Apr 27, 2026 - Perpetual",,
INBI00000885,Banker to an Issue,STANDARD CHARTERED BANK,scb_sebicompliance@sc.com,912261158422,"1 Aldermanbyry Square., London, EC2V 7SB, EC2V7SB","Apr 01, 2015 - Perpetual",,
INBI00000038,Banker to an Issue,STATE BANK OF INDIA,gm.tbu@sbi.co.in,,"STATE BANK BHAVAN, MADAME CAMA ROAD, NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Dec 01, 2015 - Perpetual",,
INBI00001328,Banker to an Issue,SURYODAY SMALL FINANCE BANK LIMITED,krishnakant.chaturvedi@suryodaybank.com,9102241856700,"Unit no 1101 sharda terraces, plot no 65 sector 11 CBD Belapur, NAVI MUMBAI, MAHARASHTRA, 400614","Aug 22, 2025 - Perpetual",,
INBI00001179,Banker to an Issue,SVC CO-OPERATIVE BANK LTD,sukhathankaroa@svcbank.com,9102271991000,"SVC CO OPERATIVE BANK LTD, SVC TOWER,, JAWHARLAL NEHRU RD, VAKOLA, SANTACRUZ EAST,, MUMBAI, MAHARASHTRA, 400055","Mar 06, 2017 - Perpetual",,
INBI00001276,Banker to an Issue,Tamilnad Mercantile Bank Limited,dps@tmbank.in,9104428130552,"57 V E Road, THOOTHUKUDI, TAMIL NADU, 628002","Jun 14, 2023 - Perpetual",,
INBI00001081,Banker to an Issue,THE AHMEDABAD MERCANTILE CO-OP BANK LTD,mgmt@amco-bank.com,917926426582,"H.O, , NR. STADIUM CIRCLE, NAVRANGPURA,, AHMEDABAD, GUJARAT, 380009","May 09, 2012 - Perpetual",,
INBI00001355,Banker to an Issue,THE COSMOS CO OP BANK LTD,dematcell@cosmosbank.in,9102067086112,"COSMOS TOWER, PLOT NO 6, ICS COLONY, UNIVERSITY ROAD, SHIVAJINAGAR, PUNE, MAHARASHTRA, 411007","Jun 03, 2026 - Perpetual",,
INBI00000083,Banker to an Issue,THE FEDERAL BANK LIMITED,,,,"May 01, 2016 - Perpetual",,
INBI00000027,Banker to an Issue,THE HONGKONG & SHANGHAI BKNG. CORPN. LTD,,22681044,"52/60, MAHATMA GANDHI ROAD, FORT, MUMBAI, MAHARASHTRA, 400001","Dec 01, 2015 - Perpetual",,
INBI00000069,Banker to an Issue,THE JAMMU AND KASHMIR BANK LIMITED,bhat.majid@jkbmail.com,01942481927,"M.A. ROAD, CORPORATE HEADQUARTERS, SRINAGAR, 190001","Jun 21, 2016 - Perpetual",,
INBI00001016,Banker to an Issue,THE KALUPUR COMMERCIAL CO-OPERATIVE BANK LIMITED,,07927544850,"KALUPUR BANK BHAVAN, NEAR INCOME TAX CIRCLE, ASHRAM ROAD, AHMEDABAD, GUJARAT, 380014","May 26, 2015 - Perpetual",,
INBI00000060,Banker to an Issue,THE KARNATAKA BANK LIMITED,,,,"Dec 01, 2015 - Perpetual",,
INBI00000007,Banker to an Issue,THE KARUR VYSYA BANK LIMITED,,,"CENTRAL OFFICE, POST BOX NO. 21, TAMIL NADU, 639002","Nov 01, 2012 - Perpetual",,
INBI00001156,Banker to an Issue,THE MEHSANA URBAN CO-OPERATIVE BANK LIMITED,vmpatel@mucbank.com,+91 2762 251908,,"May 03, 2016 - Perpetual",,
INBI00001040,Banker to an Issue,THE SARASWAT CO-OPERATIVE BANK LTD.,AB_SATAM@SARASWATBANK.COM,,"SARASWAT BANK BHAVAN, 953 APPASAHEB MARATHE MARG, PRABHADEVI, MUMBAI, MAHARASHTRA, 400025","Dec 31, 2015 - Perpetual",,
INBI00001024,Banker to an Issue,THE SOUTH INDIAN BANK LTD,"ho2006@sib.co.in, jimmymathew@sib.co.in",04872429333,"SIB House,, Mission Quarters, Thrissur, THRISSUR, KERALA, 680001","Aug 13, 2018 - Perpetual",,
INBI00001073,Banker to an Issue,THE SURAT PEOPLESS COOP. BANK LTD.,spcbldp@gmail.com,0261246462124,"CENTRAL OFFICE, , VASUDHARA BHAVAN, TIMALIYAWAD, SURAT, GUJARAT, 395001","Jul 13, 2011 - Perpetual",,
INBI00001099,Banker to an Issue,TJSB SAHAKARI BANK LTD,,25838526,"TJSB HOUSE, PLOT NO 5B, ROAD NO. 2 WAGLE ESTATE, THANE, MAHARASHTRA, 400604","Dec 04, 2012 - Perpetual",,
INBI00000055,Banker to an Issue,UCO BANK,,,,"Dec 01, 2015 - Perpetual",,
INBI00001300,Banker to an Issue,Ujjivan Small Finance Bank Limited,corporatesecretarial@ujjivan.com,918971968108,"No.27, Grape garden, 3rd A Cross,, 18th Main road, Koramangala 6th block,, BANGALORE, KARNATAKA, 560095","Feb 10, 2025 - Perpetual",,
INBI00000006,Banker to an Issue,UNION BANK OF INDIA,csprao@unionbankofindia.com,,"239, Union Bank Bhvan, Vidhan Bhavan Marg, Nariman Point, MUMBAI, MAHARASHTRA, 400021","Nov 01, 2015 - Perpetual",,
INBI00001346,Banker to an Issue,UNITY SMALL FINANCE BANK LIMITED,sebi.communication@unitybank.co.in,9102242159352,"Unit No.1201, 1202 & 1203, 12th floor,, Ansal Bhawan, 16, K.G.Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","May 25, 2026 - Perpetual",,
INBI00001258,Banker to an Issue,Utkarsh Small Finance Bank Limited,muthiah.ganapathy@utkarsh.bank,917992168444,"Utkarsh Tower, NH -31, Airport Road, Sehmalpur, Kazi Sarai, Harhua, VARANASI, UTTAR PRADESH, 221105","Jan 31, 2023 - Perpetual",,
INBI00000935,Banker to an Issue,YES BANK LIMITED,,0223347 8301,"9th Floor, Discovery of India, Nehru Centre, Dr. A.B. Road, Worli, MUMBAI, MAHARASHTRA, 400018","Jan 10, 2014 - Perpetual",,
:,Debentures Trustee,,,,,,,
IND000000009,Debentures Trustee,ANDHRA BANK,,04023252371/2388,"DR. PATTABHI BHAVAN,, 5-9-11, SECRETARIAT ROAD, SAIFABAD, ANDHRA PRADESH, 500004","Jun 01, 2015 - Perpetual",,
IND000000494,Debentures Trustee,AXIS TRUSTEE SERVICES LIMITED,dhruba.bora@axistrustee.in,0222455200606,"AXIS TRUSTEE SERVICES LTD., AXIS HOUSE, 2nd FLOOR, BOMBAY DYEING MILL, COMPOUND, PANDURANG BUDHKAR MARG, WORLI, MUMBAI, MAHARASHTRA, 400025","Jan 16, 2014 - Perpetual",,
IND000000011,Debentures Trustee,BANK OF INDIA,,22696062,"MUMBAI MAIN BRANCH,, EXECUTOR & TRUSTEE DEPT., 70/80 MG RD, FORT, MUMBAI, MAHARASHTRA, 400023","Jun 01, 2015 - Perpetual",,
IND000000010,Debentures Trustee,BANK OF MAHARASHTRA,,02025536256,"LOKMANGAL, 1501 SHIVAJINAGAR, PUNE, PUNE, MAHARASHTRA, 411005","Jun 01, 2015 - Perpetual",,
IND000000569,Debentures Trustee,BEACON TRUSTEESHIP LIMITED,contact@beacontrustee.co.in,919555449955,"5W, 5TH FLOOR, THE METROPOLITAN, BANDRA KURLA COMPLEX, BANDRA EAST, MUMBAI, MAHARASHTRA, 400051","Apr 11, 2016 - Perpetual",,
IND000000015,Debentures Trustee,CANARA BANK,,2223918,"HEAD OFFICE, 112 J.C. ROAD, BANGALORE, KARNATAKA, 56044090002","Sep 01, 2015 - Perpetual",,
IND000000034,Debentures Trustee,Catalyst Trusteeship Limited,dt@ctltrustee.com,9102066807200,"GDA House, First Floor, Plot No. 85,, S. No. 94 & 95, Bhusari Colony (Right), Kothrud,, PUNE, MAHARASHTRA, 411038","Apr 13, 2022 - Perpetual",,
IND000000502,Debentures Trustee,CENTBANK FINANCIAL SERVICES LTD,,02222616217,"CENTRAL BANK OF INDIA, MMO BLDG, 3RD FLOOR (EAST WING), 55 MG ROAD, FORT, MUMBAI, MAHARASHTRA, 400001","Dec 11, 2014 - Perpetual",,
IND000000012,Debentures Trustee,CENTRAL BANK OF INDIA,,66387818,"CENTRAL OFFICE, CHANDER MUKHI, NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Jun 01, 2015 - Perpetual",,
IND00000039,Debentures Trustee,CORPORATION BANK,,2222020715,"P B  NO.88, MANGALADEVI TEMPLE ROAD, MANGALORE DASHINA KANNADA DISTT, MANGALORE, KARNATAKA, 575001","Jun 16, 2014 - Perpetual",,
IND000000004,Debentures Trustee,ICICI BANK LTD (ICICI LTD MERGED WITH ICICI BANK LTD),,02224906280,"LANDMARK, RACE COURSE CIRCLE, VADODARA, GUJARAT, 390007","May 01, 2015 - Perpetual",,
IND000000460,Debentures Trustee,IDBI TRUSTEESHIP SERVICES LTD.,,,"ASIAN BUILDING, GROUND FLOOR, 17 R KAMANI MARG, BALLARD ESTATE, , ASIAN BUILDING, GROUND FLOOR, 17 R KAMANI MARG, BALLARD ESTATE,, MUMBAI, MAHARASHTRA, 400001","Apr 27, 2012 - Perpetual",,
IND000000002,Debentures Trustee,IFCI LIMITED(FORMERLY INDUSTRIAL FINANCE CORPN. OF INDIA),,01141732000,"IFCI TOWER, , 61 NEHRU PLACE, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Apr 01, 2012 - Perpetual",,
IND000000017,Debentures Trustee,INDIAN BANK,debenturetrustee@indianbank.co.in,9104425279960,"INDIAN BANK, 5th Floor, No.66,, CHENNAI, TAMIL NADU, 600001","Oct 01, 2012 - Perpetual",,
IND000000596,Debentures Trustee,MITCON CREDENTIA TRUSTEESHIP SERVICES LIMITED,compliance@mitconindia.com,9102222828200,"Kubera Chambers, 1st Floor, Shivajinagar,, PUNE, MAHARASHTRA, 411005","Jul 25, 2019 - Perpetual",,
IND000000602,Debentures Trustee,Orbis Trusteeship Services Private Limited,trusteeship@orbisfinancial.in,911244546609,"4A, Ocus Technopolis, Golf Club Road, Sector 54, GURUGRAM, HARYANA, 122002","Jul 15, 2020 - Perpetual",,
IND000000510,Debentures Trustee,PNB INVESTMENT SERVICES LTD.,,41035054,"10 RAKESH DEEP BUILDING, YUSUF SARAI COMMERCIAL COMPLEX,, GULMOHAR ENCLAVE, NEW DELHI, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110049","Feb 22, 2010 - Perpetual",,
IND000000023,Debentures Trustee,PUNJAB NATIONAL BANK,,,"HEAD OFFICE, 7, BHIKHAJI CAMA PLACE, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110607","Aug 01, 2013 - Perpetual",,
IND000000536,Debentures Trustee,SBICAP TRUSTEE COMPANY LIMITED,sandeep.poddar@sbicaptrustee.com,9102243025517,"202, MAKER TOWER, ""E"" WING, 20TH FLOOR, CUFFE PARADE, MUMBAI, MAHARASHTRA, 400005","Oct 07, 2015 - Perpetual",,
IND000000016,Debentures Trustee,STATE BANK OF INDIA,gm.sme@sbi.co.in,912222740510,"STATE BANK BHAVAN, MADAM CAMA ROAD,NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Oct 01, 2015 - Perpetual",,
IND000000437,Debentures Trustee,THE JAMMU & KASHMIR BANK LTD,,1942481928,"CORPORATE HEADQUARTERS, M.A. ROAD, SRINAGAR, 190001","Nov 16, 2014 - Perpetual",,
IND000000021,Debentures Trustee,UCO BANK,hombd.calcutta@ucobank.co.in,03344558042,"10, BTM SARANI, KOLKATA, WEST BENGAL, KOLKATA, WEST BENGAL, 700001","Jun 16, 2016 - Perpetual",,
IND000000486,Debentures Trustee,UNIT TRUST OF INDIA INVESTMENT ADVISORY SERVICES LIMITED,dominic.koyikara@utiias.co.in,26282234,"UTI TOWER, GN BLOCK,, BANDRA KURLA COMPLEX, BANDRA (E), MUMBAI, MAHARASHTRA, 400051","Mar 02, 2016 - Perpetual",,
IND000000611,Debentures Trustee,VARDHMAN TRUSTEESHIP PRIVATE LIMITED,neha.jain@ativiradvisory.com,913340016345,"Unit No. 412, The Capital, C-70 G Block, Bandra Kurla Complex, Bandra East, Audit Bhavan, Mumbai, Bandra, MUMBAI, MAHARASHTRA, 400051","Dec 15, 2020 - Perpetual",,
IND000000578,Debentures Trustee,Vistra ITCL India Limited,,,,"Apr 03, 2024 - Perpetual",,
:,Credit Rating Agency (CRA),,,,,,,
IN/CRA/009/2025,Credit Rating Agency (CRA),ACER CREDIT RATING PRIVATE LIMITED,KAMALTANEJA@ACERRATINGS.COM,911244607887,"Unit 808, 8th FLR, Sec-30, Signature Tower-B, Basai Road, GURUGRAM, HARYANA, 122001","Aug 21, 2025 - Perpetual",,
IN/CRA/006/2011,Credit Rating Agency (CRA),Acuite Ratings & Research Limited,info@acuite.in,9102249294000,"708, Lodha Supremus, Lodha iThink Techno Campus, Kanjurmarg (East), MUMBAI, MAHARASHTRA, 400042","Feb 22, 2011 - Perpetual",,
IN/CRA/005/2008,Credit Rating Agency (CRA),BRICKWORK RATINGS INDIA PRIVATE LIMITED,ajanth.k@brickworkratings.com,9108040409940,"Sy No 29/3 & 32/2 , III Floor Raj Alkaa Park, Kalena Agrahara , Bannerghatta Road, BANGALORE, KARNATAKA, 560076","Feb 07, 2008 - Perpetual",,
IN/CRA/004/1999,Credit Rating Agency (CRA),CARE Ratings Limited,care@careratings.com,02202267543456,"Godrej Coliseum 4th Floor Somaiya Hospital Road, OFF Eastern Express Highway Sion E, MUMBAI, MAHARASHTRA, 400022","Nov 05, 1999 - Perpetual",,
IN/CRA/010/2026,Credit Rating Agency (CRA),CredStone Ratings Private Limited,,,"822, 8th Floor, The Summit Business Bay, , NR Western Express Highway, Andheri E, 400093., MUMBAI, MAHARASHTRA, 400093","May 26, 2026 - Perpetual",,
IN/CRA/001/1999,Credit Rating Agency (CRA),CRISIL Ratings Limited,SRILAXMI.PAI@crisil.com,912261373000,"Lightbrigde IT Park, Saki Vihar Road, Andheri East, MUMBAI, MAHARASHTRA, 400072","Dec 04, 2020 - Perpetual",,
IN/CRA/008/15,Credit Rating Agency (CRA),ICRA LIMITED,icra.compliance@icraindia.com,01245445300,"B-710, Statesman House, 148, Barakhamba Road, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Apr 20, 2015 - Perpetual",,
IN/CRA/002/1999,Credit Rating Agency (CRA),India Ratings and Research Pvt. Ltd. (formerly Fitch Ratings India Pvt. Ltd.),info@indiaratings.co.in,912240001700,"Wockhardt Towers, 4th Floor, , West Wing, Bandra Kurla Complex,, MUMBAI, MAHARASHTRA, 400051","Nov 05, 1999 - Perpetual",,
IN/CRA/007/2015,Credit Rating Agency (CRA),Infomerics Valuation and Rating Pvt. Ltd.,sbhandari@infomerics.com,9102240036966,"104 & 108 (1st Floor), Golf Apt., Sujan Singh Park, Maharishi Ramanna Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110003","Apr 07, 2015 - Perpetual",,
:,KYC Registration Agency,,,,,,,
IN/KRA/004/2012,KYC Registration Agency,CAMS Investor Services Private Limited.,sv_karthick@camsonline.com,044-30212924,"New No. 10 Old No. 178 M G R Salai, Nungambakkam, Chennai, Tamilnadu, 600006","Jun 29, 2012 - Jun 28, 2017",,
IN/KRA/001/2011,KYC Registration Agency,CDSL Ventures Limited (CVL),rakeshb@cdslindia.com,022-61216913,"A-Wing, Marathon Futurex, 25th Floor, Mafatlal Mills Compounds, N M Joshi Marg, Lower Parel (E), Mumbai, Maharashtra, 400013","Dec 28, 2011 - Dec 27, 2016",,
IN/KRA/005/2012,KYC Registration Agency,Karvy Data Management Services Limited,muralikrishnach@karvy.com,040 – 44707666,"KARVY House, No. 46, Avenue 4, Street No. 1 Road No. 10, Banjara Hills, Hyderabad, Andhra Pradesh, 500034","Nov 22, 2012 - Nov 21, 2017",,
IN/KRA/007/2025,KYC Registration Agency,KFIN SERVICES PRIVATE LIMITED,,,,,,
IN/KRA/002/2012,KYC Registration Agency,NSDL Database Management Limited (NDML),"sameerg@nsdl.co.in, vijayg@nsdl.co.in",022 4914 2505/ 022 4914 2504,"Trade World, A-wing, 4th Floor, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra, 400013","Jan 13, 2012 - Jan 12, 2017",,
:,Merchant Bankers,,,,,,,
INM000012801,Merchant Bankers,360 ONE WAM LIMITED,,,,"Jan 28, 2021 - Perpetual",,
INM000012528,Merchant Bankers,3DIMENSION CAPITAL SERVICES LTD.,rhydham@3dcsl.com,9101140196737,"H-38, LOWER GROUND FLOOR, JANGPURA EXTENSION, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110014","May 21, 2018 - Perpetual",,
INM000010411,Merchant Bankers,A.K. CAPITAL SERVICES LTD,chaitali.desai@akgroup.co.in,912267544776,"603, 6TH FLOOR, WINDSOR, OFF CST ROAD,, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","Apr 01, 2016 - Perpetual",,
INM000012555,Merchant Bankers,AFCO CAPITAL INDIA PVT LTD,capital@afcogroup.in,912226378100,"New Putlibai Kapol Niwas CHS lTD, B /06-05, 167-C,S.V.Road, Vile Parle West, MUMBAI, MAHARASHTRA, 400056","Aug 09, 2018 - Perpetual",,
INM000012838,Merchant Bankers,AFFINITY GLOBAL CAPITAL MARKET PRIVATE LIMITED,COMPLIANCE@AFFINITYGLOBALCAP.IN,09103340047183,"20B, ABDUL HAMID STREET(BRITISH INDIA STREET),, EAST INDIA HOUSE, 1ST FLOOR, ROOM NO. 1F,, KOLKATA, WEST BENGAL, 700069","Jun 15, 2021 - Perpetual",,
INM000013110,Merchant Bankers,Aftertrade Broking Private Limited,compliance@aftertrade.in,918469237252,"206, 2nd Floor, Time Square,, Beside Pariseema Complex, CG Road, Navrangpura, AHMEDABAD, GUJARAT, 380009","Apr 04, 2024 - Perpetual",,
INM000011864,Merchant Bankers,AJCON GLOBAL SERVICES LTD.,mbd@ajcon.net,02267160400,"101, Samarth, Lt. P.N. Kotnis Road , Off. Hinduja Hsopital, Mahim (W), MUMBAI, MAHARASHTRA, 400063","Sep 30, 2011 - Perpetual",,
INM000011658,Merchant Bankers,AKASAM  CONSULTING PVT. LTD.,,04066444955/69,"LEVEL-3 & 4 'AKASAM', 10-1-17/1/1,MASAB TANK, HYDERABAD, TELANGANA, 500004","Feb 22, 2015 - Perpetual",,
INM000012971,Merchant Bankers,Almondz Financial Services Limited,complianceofficer.mb@almondz.com,9101143500700,"F 33/3 Okhla Industrial Area, Phase-II, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020","Mar 24, 2023 - Perpetual",,
INM000010585,Merchant Bankers,Ambit Private Limited,nehal.shah@ambit.co,912268601842,"AMBIT HOUSE, 449, SENAPATI BAPAT MARG, LOWER PAREL, MUMBAI, MAHARASHTRA, 400013","Apr 16, 2015 - Perpetual",,
